,mutantID,testID,is_output_x_equal,is_output_y_equal,is_int_x_equal,is_int_y_equal
0,Num281Line20Vers32,VRfNx3Krud5jD43PHgxJdc,True,True,True,True
1,Num281Line20Vers32,SVumrKz2o5MrZ4LmouTKTt,True,True,True,True
2,Num281Line20Vers32,x9GsMzyJggmJVBFwtDdWgGy,True,True,True,True
3,Num281Line20Vers32,HGG3ZoLQDvNSCo68FfqnyR,True,True,True,True
4,Num281Line20Vers32,HrsMvznCqa4BcUSMQxhswN,True,True,True,True
5,Num281Line20Vers32,iZ6RWNFtznDcnW86BLoVzz,True,True,True,True
6,Num281Line20Vers32,JSoCQLK4JncUyGkTJmBf8U,True,True,True,True
7,Num281Line20Vers32,x8q6CUrM8evZ5i2MZSmuTyF,True,True,True,True
8,Num281Line20Vers32,grCYYqDppVgYjxEzo9gi8b,True,True,True,True
9,Num281Line20Vers32,GXKoJAoFCeMDN9hNHHZJbw,True,True,True,True
10,Num281Line20Vers32,DmDYBcDbmmYZFZEFtSzUHf,True,True,True,True
11,Num281Line20Vers32,a7JrStTEFDWRVJDJEE8iSi,True,True,True,True
12,Num281Line20Vers32,EGeSryitfwa2bo5qB9Z94f,True,True,True,True
13,Num281Line20Vers32,x7ametREFiSraNdMc3Su6Sd,True,True,True,True
14,Num281Line20Vers32,fumRDcrFqivMfX8wvHsy2i,True,True,True,True
15,Num281Line20Vers32,gVMc9vqN7G2m9EYvFDZKVT,True,True,True,True
16,Num281Line20Vers32,mpt5sxNXi3ZtuMbWEwTepW,True,True,True,True
17,Num281Line20Vers32,aHnRKeJd2osztTy9fkh9Am,True,True,True,True
18,Num281Line20Vers32,TNA7oJx2UdQErSeLKuK7fE,True,True,True,True
19,Num281Line20Vers32,fPjqNeKg8Y9FytR4jHQMi9,True,True,True,True
20,Num281Line20Vers32,jLntuYZDrWcLvC4MJ5v23b,True,True,True,True
21,Num281Line20Vers32,kcqGZAaauZU3gHx6LpaaJv,True,True,True,True
22,Num281Line20Vers32,SctED2kh5TbqELR9zaVCwj,True,True,True,True
23,Num281Line20Vers32,x8KYKfn8tieHKjYkFTJe23w,True,True,True,True
24,Num281Line20Vers32,x4qUhjzqKzvKTysxmYtdtvG,True,True,True,True
25,Num281Line20Vers32,mPj6cLgddNdt8f7zyHo6mA,True,True,True,True
26,Num281Line20Vers32,o9mEQL5eKtK5c8fdjA5e5P,True,True,True,True
27,Num281Line20Vers32,x8DL2scNsMvJaGeqBxMWU9n,True,True,True,True
28,Num281Line20Vers32,CFPucPcFjWGdGqdpUGTDM9,True,True,True,True
29,Num281Line20Vers32,JFyUSoESZtgRLyCpBGPPEZ,True,True,True,True
30,Num281Line20Vers32,x748vyTMHhyrecXxanBWjAq,True,True,True,True
31,Num281Line20Vers32,ZHUo9LALvgNyx8hGQ6xTkg,True,True,True,True
32,Num281Line20Vers32,x9Gt4m3ixi6Z2iPgr4S9mZQ,True,True,True,True
33,Num281Line20Vers32,a7TVyGyHzB6cy9Ugiw9ubw,True,True,True,True
34,Num281Line20Vers32,HNUGfo5en84QZsSUfRVEUh,True,True,True,True
35,Num281Line20Vers32,k7oZ58dZ4Xdi3zSZxVafyV,True,True,True,True
36,Num281Line20Vers32,x6q86zD4g8aZbVVqZcdmEDZ,True,True,True,True
37,Num281Line20Vers32,x9saWi9wChZ6xzpRWjjw8kP,True,True,True,True
38,Num281Line20Vers32,fehxPttF25H2GhXo44NGgu,True,True,True,True
39,Num281Line20Vers32,bEWNkMUyS9U6X2PDhjFM3d,True,True,True,True
40,Num281Line20Vers32,x5gMSVk4vgNeWihtwsCaD5R,True,True,True,True
41,Num281Line20Vers32,bkmk3hfxU8HRJjkgHEPkRL,True,True,True,True
42,Num281Line20Vers32,aHPQQ8RHzbYvv4N5SbmyS9,True,True,True,True
43,Num281Line20Vers32,aySNvZ66jzH2QwCwQ6iULY,True,True,True,True
44,Num281Line20Vers32,XqwEAJRUts6BNai8oWkA2t,True,True,True,True
45,Num281Line20Vers32,THBABTChki8CYZZkjFwWFn,True,True,True,True
46,Num281Line20Vers32,x2FZryZG7v5LxgJAaDnaozV,True,True,True,True
47,Num281Line20Vers32,x7tRzbZu3xFHe2SZ7DqKzrP,True,True,True,True
48,Num281Line20Vers32,F2GwHjD4J2wDoEq8ixXY25,True,True,True,True
49,Num281Line20Vers32,MHyUvHTtW6PjkYd5aZEHaj,True,True,True,True
50,Num281Line20Vers32,JsP7Bx2LLJFBDy544emtmp,True,True,True,True
51,Num281Line20Vers32,GnjwJnAQFuDeKzNeLJDnf6,True,True,True,True
52,Num281Line20Vers32,BXjdVB53kVCLDT8jmdLXDL,True,True,True,True
53,Num281Line20Vers32,x5iXieBpEqDCpMpBY6TThrM,True,True,True,True
54,Num281Line20Vers32,KCquU8wqagoA5BKiRayYUR,True,True,True,True
55,Num281Line20Vers32,MKpZPvonb2ueXFA55aRuYu,True,True,True,True
56,Num281Line20Vers32,cajucmziWvqioudNXC7mQm,True,True,True,True
57,Num281Line20Vers32,Rw4TPxbauHxuA8jpbDKy5A,True,True,True,True
58,Num281Line20Vers32,XCi6uNXM2CEn4CfSNV2232,True,True,True,True
59,Num281Line20Vers32,PZZxL8R8pPy2DbGeMZbzD7,True,True,True,True
60,Num281Line20Vers32,UNn9jRcMf6B9Z4XUDkCMUi,True,True,True,True
61,Num281Line20Vers32,x6tYYRZqsfRxDwDz6bKz2wb,True,True,True,True
62,Num281Line20Vers32,WvsgREEGeYQh6x9DBymQG6,True,True,True,True
63,Num281Line20Vers32,gfSswo4n2UABSVvXpkVA9S,True,True,True,True
64,Num281Line20Vers32,YDbTjZztQbpvmRBhjscD9Y,True,True,True,True
65,Num281Line20Vers32,RnFepgupsK5zKDQ8SM9P32,True,True,True,True
66,Num281Line20Vers32,x3WtpMdfxyBZxeuT8kceJVU,True,True,True,True
67,Num281Line20Vers32,f9i7ruDvy342YGdtrsrZ9G,True,True,True,True
68,Num281Line20Vers32,Gv6C9ys7JhZ7RoL5oMuCoF,True,True,True,True
69,Num281Line20Vers32,iyoNkiqBc5GqR5epghv3im,True,True,True,True
70,Num281Line20Vers32,ZJBaY2ZaQBAGKxpGKBr4By,True,True,True,True
71,Num281Line20Vers32,Kd6gZTQoghnYBiEeJgRooZ,True,True,True,True
72,Num281Line20Vers32,mJZL83R4fXE4TSFxawxco4,True,True,True,True
73,Num281Line20Vers32,PPUn7tBQgqS9a9o6Qfey2R,True,True,True,True
74,Num281Line20Vers32,AGCXNMCpMdCsra3dsWU2hG,True,True,True,True
75,Num281Line20Vers32,LDWDCrxgQa9gQAqdDGGH3x,True,True,True,True
76,Num281Line20Vers32,ds3jJZuSsK3cMmGsEqLshk,True,True,True,True
77,Num281Line20Vers32,x4Rj5ucA3YBu4aMBbDfuCfG,True,True,True,True
78,Num281Line20Vers32,oBScwonJCvpZ64jbXYUA6C,True,True,True,True
79,Num281Line20Vers32,XKE2U53jEieDUyvGf4R5Rc,True,True,True,True
80,Num281Line20Vers32,NJh5DonbvSCBPPqS8HPEPE,True,True,True,True
